tag,serial,mac,hostname
N16-16,WM052534W-51422,F4:54:24:68:C9:40,AP720-N16F.501i.16
N16-17,WM052534W-52383,F4:54:24:69:A1:C0,AP720-N16F.501i.17
N16-18,WM052534W-52365,F4:54:24:69:9C:C0,AP720-N16F.501i.18
N16-19,WM052534W-51404,F4:54:24:68:C3:C0,AP720-N16F.501i.19
N16-20,WM052534W-52343,F4:54:24:6A:15:80,AP720-N16F.501i.20
N16-21,WM052534W-52511,F4:54:24:69:C1:C0,AP720-N16F.501i.21
N20-39,WM052534W-51695,F4:54:24:69:0F:80,AP720-N20F.501i.39
N20-40,WM052534W-51400,F4:54:24:68:E5:00,AP720-N20F.501i.40
N20-41,WM052534W-51242,F4:54:24:68:BA:40,AP720-N20F.501i.41
N20-42,WM052534W-51164,F4:54:24:68:A7:C0,AP720-N20F.501i.42
N20-43,WM052534W-52279,F4:54:24:69:C9:80,AP720-N20F.501i.43
N20-44,WM052534W-51333,F4:54:24:69:54:40,AP720-N20F.501i.44
N21-45,WM052534W-51103,F4:54:24:69:6D:40,AP720-N21F.501i.45
N21-46,WM052534W-51290,F4:54:24:68:BA:C0,AP720-N21F.501i.46
N21-47,WM052534W-52203,F4:54:24:6A:09:80,AP720-N21F.501i.47
N21-48,WM052534W-51252,F4:54:24:69:67:80,AP720-N21F.501i.48
N21-49,WM052534W-52504,F4:54:24:69:AB:40,AP720-N21F.501i.49
N21-50,WM052534W-52175,F4:54:24:69:A0:00,AP720-N21F.501i.50
N22-51,WM052534W-51261,F4:54:24:68:EC:00,AP720-N22F.501i.51
N22-52,WM052534W-51395,F4:54:24:69:00:00,AP720-N22F.501i.52
N22-53,WM052533W-51615,F4:54:24:66:D9:00,AP720-N22F.501i.53
N22-54,WM052534W-52028,F4:54:24:69:3F:40,AP720-N22F.501i.54
N22-55,WM052534W-51063,F4:54:24:69:80:80,AP720-N22F.501i.55
N22-56,WM052534W-52200,F4:54:24:69:CD:40,AP720-N22F.501i.56
N23-57,WM052534W-51859,F4:54:24:68:B1:00,AP720-N23F.501i.57
N23-58,WM052533W-51915,F4:54:24:66:95:C0,AP720-N23F.501i.58
N23-59,WM052534W-52145,F4:54:24:69:C3:00,AP720-N23F.501i.59
N23-60,WM052534W-50177,F4:54:24:68:2C:40,AP720-N23F.501i.60
N24-61,WM052534W-51632,F4:54:24:68:FA:C0,AP720-N24F.501i.61
N24-62,WM052534W-52019,F4:54:24:68:9F:C0,AP720-N24F.501i.62
N24-63,WM052534W-52208,F4:54:24:69:BB:00,AP720-N24F.501i.63
N24-64,WM052534W-51169,F4:54:24:68:B7:C0,AP720-N24F.501i.64
N24-65,WM052534W-51357,F4:54:24:69:10:80,AP720-N24F.501i.65
N24-66,WM052534W-51235,F4:54:24:68:B5:C0,AP720-N24F.501i.66
N24-67,WM052534W-51041,F4:54:24:68:9A:40,AP720-N24F.501i.67
N24-68,WM052534W-51871,F4:54:24:68:C1:00,AP720-N24F.501i.68
N24-69,WM052534W-52239,F4:54:24:69:D1:00,AP720-N24F.501i.69
N26-78,WM052534W-51362,F4:54:24:69:72:40,AP720-N26F.501i.78
N26-79,WM052534W-52049,F4:54:24:68:FD:C0,AP720-N26F.501i.79
N26-80,WM052533W-51328,F4:54:24:66:62:00,AP720-N26F.501i.80
N26-81,WM052533W-51346,F4:54:24:66:63:40,AP720-N26F.501i.81
N26-82,WM052533W-51411,F4:54:24:66:64:C0,AP720-N26F.501i.82
N26-83,WM052533W-51397,F4:54:24:66:73:40,AP720-N26F.501i.83
N26-84,WM052533W-51384,F4:54:24:66:7E:C0,AP720-N26F.501i.84
N27-85,WM052533W-51385,F4:54:24:66:6E:40,AP720-N27F.501i.85
N27-86,WM052533W-51246,F4:54:24:66:85:80,AP720-N27F.501i.86
N27-87,WM052534W-51592,F4:54:24:69:84:80,AP720-N27F.501i.87
N27-88,WM052533W-51248,F4:54:24:66:88:40,AP720-N27F.501i.88
N27-89,WM052534W-51205,F4:54:24:68:A6:40,AP720-N27F.501i.89
N27-90,WM052534W-51296,F4:54:24:68:B4:00,AP720-N27F.501i.90
N27-91,WM052534W-51543,F4:54:24:69:5E:C0,AP720-N27F.501i.91
N27-92,WM052534W-51274,F4:54:24:68:C2:00,AP720-N27F.501i.92
S05-35,WM052534W-51120,F4:54:24:68:C3:40,AP710-S05F.501i.35
S05-36,WM052533W-51422,F4:54:24:66:71:00,AP710-S05F.501i.36
S05-37,WM052534W-51209,F4:54:24:68:DB:C0,AP710-S05F.501i.37
S05-38,WM052534W-51168,F4:54:24:68:E1:80,AP710-S05F.501i.38
S05-39,WM052534W-51170,F4:54:24:68:EB:00,AP710-S05F.501i.39
S05-40,WM052534W-51418,F4:54:24:68:E3:00,AP710-S05F.501i.40
S08-54,WM052534W-51853,F4:54:24:69:21:40,AP710-S08F.501i.54
S08-55,WM052534W-51161,F4:54:24:68:F0:40,AP710-S08F.501i.55
S08-56,WM052534W-51027,F4:54:24:68:FA:80,AP710-S08F.501i.56
S08-57,WM052534W-51439,F4:54:24:69:03:00,AP710-S08F.501i.57
S08-58,WM052534W-51355,F4:54:24:69:09:C0,AP710-S08F.501i.58
S08-59,WM052534W-51339,F4:54:24:69:0E:C0,AP710-S08F.501i.59
S09-60,WM052534W-51604,F4:54:24:69:14:80,AP710-S09F.501i.60
S09-61,WM052534W-51073,F4:54:24:69:17:40,AP710-S09F.501i.61
S09-62,WM052534W-51236,F4:54:24:69:18:00,AP710-S09F.501i.62
S09-63,WM052534W-51047,F4:54:24:69:2C:C0,AP710-S09F.501i.63
S09-64,WM052534W-51249,F4:54:24:69:40:C0,AP710-S09F.501i.64
S09-65,WM052534W-51407,F4:54:24:69:42:40,AP710-S09F.501i.65
S10-66,WM052534W-51815,F4:54:24:69:4B:C0,AP710-S10F.501i.66
S10-67,WM052534W-51053,F4:54:24:69:88:40,AP710-S10F.501i.67
S10-68,WM052534W-51547,F4:54:24:69:50:C0,AP710-S10F.501i.68
S10-69,WM052534W-51150,F4:54:24:69:82:40,AP710-S10F.501i.69
S10-70,WM052534W-51477,F4:54:24:69:67:C0,AP710-S10F.501i.70
S10-71,WM052534W-51200,F4:54:24:69:77:00,AP710-S10F.501i.71
S11-72,WM052534W-51483,F4:54:24:69:61:80,AP710-S11F.501i.72
S11-73,WM052534W-51718,F4:54:24:69:81:40,AP710-S11F.501i.73
S11-74,WM052534W-52039,F4:54:24:69:2B:00,AP710-S11F.501i.74
S11-75,WM052534W-51675,F4:54:24:69:89:C0,AP710-S11F.501i.75
S11-76,WM052534W-52324,F4:54:24:69:A0:40,AP710-S11F.501i.76
S11-77,WM052534W-52136,F4:54:24:69:AE:80,AP710-S11F.501i.77
S12-78,WM052534W-52295,F4:54:24:69:C1:80,AP710-S12F.501i.78
S12-79,WM052534W-52232,F4:54:24:69:D2:00,AP710-S12F.501i.79
S12-80,WM052534W-52575,F4:54:24:69:D3:00,AP710-S12F.501i.80
S12-81,WM052534W-52227,F4:54:24:69:DA:80,AP710-S12F.501i.81
S12-82,WM052534W-52351,F4:54:24:6A:12:00,AP710-S12F.501i.82
